"Location Name","Location Name ZH","Thai / Alt Name","Google Maps URL","Category","Notes","Notes ZH","Source URL","Source Tags","Verification Status","Lat","Lng","Icon","Country Code","Destination Key","Slug"
"ร้านก๋วยเตี๋ยวเนื้อวัวนายเที๊ยบ สาขานาคนิวาส 10","นายเที๊ยบ 牛肉麵（Nak Niwat 10）","","https://www.google.com/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B8%A7%E0%B8%B1%E0%B8%A7%E0%B8%99%E0%B8%B2%E0%B8%A2%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%8A%E0%B8%A2%E0%B8%9A+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B8%84%E0%B8%99%E0%B8%B4%E0%B8%A7%E0%B8%B2%E0%B8%AA+21/@13.8038947,100.6063752,17z/data=!3m1!4b1!4m6!3m5!1s0x30e29d92113f2e8f:0x73ad19ccdaaffe54!8m2!3d13.8038947!4d100.6063752!16s%2Fg%2F12qh4mbtk?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D","Restaurant","Recommended by Lingling on Instagram.
Lingling Instagram","鄺鄺 IG 推薦
Lingling Instagram","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.8038950","100.6063750","🍽","TH","bangkok","10"
"32Bar X","32Bar X 巧克力吧","32Bar X","https://www.google.com/maps/search/?api=1&query=ChIJWUGdH6yZ4jARaV06hryr5NE&query_place_id=ChIJWUGdH6yZ4jARaV06hryr5NE","Cafe","Specialty chocolate bar in Chinatown. Featured in Alek's exploration. Staff enthusiastic with free tastings. Drinks ฿140 + one chocolate piece. Orm ordered #7 (banana flavour), Ling ordered #1 (coconut flavour). ✓ Visited.","Alek探店系列 - 老城區。店員很熱情會給巧克力試吃，飲品約฿140加一小塊巧克力；Orm喝7號香蕉味，Ling喝1號椰子味。","https://www.threads.com/@ddding._.dong/post/DMNK2DoxybR, https://www.threads.com/@zymase.zy/post/DMKS9iFRT5I","Threads","Published","13.7339190","100.5121140","🍫","TH","bangkok","32bar-x"
"Aim Oat","Aim Oat 餐廳","","https://www.google.com/maps/search/?api=1&query=Aim+Oat+Khon+Kaen","Restaurant","A local Isan breakfast restaurant (recommended: Aim Oat or Baan Heng). Experience: the first stop on a self-driving trip to fill up before setting off. These two long-established restaurants are extremely famous in Khon Kaen. Must-orders include the northeastern Thai staple Vietnamese-style fried eggs (Kai Kata, two fried eggs served in a small iron pan with Chinese sausage and minced pork), Vietnamese pork rice noodles, and Vietnamese baguettes. The restaurants are generally air-conditioned, clean, and comfortable.","伊桑在地早餐店（推薦：Aim Oat 或 Baan Heng） 體驗：自駕的第一站先去填飽肚子。這兩家是孔敬極為有名的老字號早餐店，必點泰國東北標配的「越南煎蛋（Kai Kata，用小鐵鍋盛裝的雙煎蛋配臘腸肉末）」、越式豬肉米線及越式法國麵包。店內多有冷氣，環境乾淨。","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","16.4355020","102.8362600","🍽","TH","khon-kaen","aim-oat"
"Ama Bakery","Ama Bakery 老字號麵包店（是隆路）","อาม้า เบเกอรี่","","Cafe","50+ year old bakery at 745 Silom Road (near Wat Khaek / Wat Phra Sri Maha Uma Devi), Bang Rak. Known for pandan custard buns and sangkaya bread. Open Mon-Fri ~9am-3pm, Sat half-day, closed Sun.","位於是隆路745號、開業超過50年的老字號麵包店，招牌是香蘭卡士達包和奶黃包。週一到週五早上9點到下午3點營業，週六只營業半天，週日公休。","https://www.facebook.com/amabakery.silom/","","Paused","","","☕","","","ama-bakery-silom"
"Auntie Nid Coffee Shop","Auntie Nid 古早味泰式奶茶（大秋千廣場）","ร้านป้านิดปากแดง กาแฟโบราณ","","Beverages","70-year-old viral Thai tea/coffee stand run by 'Auntie Nid' at 112 Mahannop Rd, Sao Chingcha, next to the Giant Swing. Known for extra-sweet Thai milk tea (~40 THB), customizable sweetness. Open 6:00-15:00 daily.","位於大秋千廣場(Sao Chingcha)、大秋千旁的112 Mahannop路，開業70年爆紅的古早味泰式奶茶咖啡攤，招牌是超甜泰式奶茶（約40泰銖），可以客製甜度。每天早上6點到下午3點營業。","https://www.threads.com/@friendsfromthailand/post/DOddhajD9t1/","Threads","Paused","","","🥤","","","auntie-nid-coffee-shop"
"Baan Heng","Baan Heng 餐廳","","https://www.google.com/maps/search/?api=1&query=Baan+Heng+Khon+Kaen","Restaurant","Baan Heng (บ้านเฮง) — recommended by the Michelin Guide and a local Isan breakfast restaurant.

Cuisine: Thai-Chinese breakfast and casual dishes.
Features: This is a famous, long-established restaurant in Khon Kaen. Its decor blends retro and modern Thai-Chinese styles, and the space is clean and bright.

Recommended: Ideal for breakfast or lunch. Signature dishes include Kai Kata, Vietnamese baguettes, and special roasted pork. Their dried grilled pork and various Chinese-style gifts are also popular.","王源香 (Baan Heng / บ้านเฮง) ── 米其林指南推薦、伊桑在地早餐店

料理風格：泰式中式早餐與簡餐（Thai-Chinese）
特色：這是一家在孔敬非常有名的老字號。店內裝潢融合了復古與現代的泰中風格，環境乾淨明亮。

推薦：這裡非常適合吃早餐或午餐。招牌菜包括泰式煎蛋（Kai Kata）、越式麵包、特製燒肉等。另外，他們的烤豬肉乾和各式中式手信也相當受歡迎。","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","16.4341360","102.8358200","🍽","TH","khon-kaen","baan-heng"
"Bang Di Kai Hat Yai","00K同款炸雞","บังดีไก่หาดใหญ่","https://maps.app.goo.gl/ywySqKduJ7qY2VEp7","Restaurant","Opens ~3 pm; Kling's favourite fried chicken near CH3 broadcasting area. One @nightviper74 commenter says '已經沒了' (possibly closed). Verify before visiting.","約下午 3 點營業；Kling 喜歡的炸雞攤，位於 CH3 電視台附近。@nightviper74 留言提到「已經沒了」，可能已停業，前往前需確認。","https://www.threads.com/@nightviper74/post/DId7paOJUKp, https://www.threads.com/@my_go_go_d/post/DDVt-bayjvt","Threads","Published","13.7177298","100.5728747","🍗","TH","bangkok","bang-di-kai-hat-yai"
"Butterbear Cafe EmSphere","Butterbear Cafe（EmSphere）","","https://www.google.com/maps/search/?api=1&query=Butterbear+Cafe+EmSphere+Sukhumvit+Rd%2C+Khlong+Tan%2C+Khlong+Toei%2C+Bangkok+10110","Cafe","Butterbear dessert (Butter Tteok) that Ling bought for Orm.

Ref: https://www.threads.com/@___epoh___/post/DW6m0p7mL8O","Ling 買給 Orm 的 Butterbear 甜點 （Butter Tteok)

Ref: https://www.threads.com/@___epoh___/post/DW6m0p7mL8O","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7322392","100.5668772","☕","TH","bangkok","butterbear-cafe-emsphere"
"Butterbear Cafe Siam Paragon","Butterbear Cafe（Siam Paragon）","","https://www.google.com/maps/search/?api=1&query=Butterbear+Cafe+Siam+Paragon+991+Rama+I+Rd%2C+Pathum+Wan%2C+Bangkok+10330","Cafe","Butterbear dessert (Butter Tteok) that Ling bought for Orm.

Ref: https://www.threads.com/@___epoh___/post/DW6m0p7mL8O","Ling 買給 Orm 的 Butterbear 甜點 （Butter Tteok)

Ref: https://www.threads.com/@___epoh___/post/DW6m0p7mL8O","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7458000","100.5348000","☕","TH","bangkok","butterbear-cafe-siam-paragon"
"Café Amazon (Wang Lang Soi 1)","Café Amazon（Wang Lang Soi 1）","","https://www.google.com/maps/search/?api=1&query=ChIJwRmVXAqZ4jARJcqVr8UHdYE&query_place_id=ChIJwRmVXAqZ4jARJcqVr8UHdYE","Restaurant","Cafe Amazon

🍌 To find the fried bananas, first locate the outer ☕ Amazon Cafe. Find the bakery on the corner, then follow the indoor stalls to the 🥤 drink shop and the fried bananas! (There is another Amazon Cafe inside.)","Cafe Amazon

🍌炸香蕉請先定位外圍☕Amazon Cafe，找到轉角麵包店，就能順著室內攤位找到🥤飲料店和炸香蕉了！（裡面也有另一家Amazon Cafe)","https://maps.app.goo.gl/SThB6uC4zygrANNY7","Threads","Published","13.7562400","100.4862800","🍽","TH","bangkok","caf-amazon-wang-lang-soi-1"
